file,rows,columns,polling_stations,duplicate_ps,status,reason
AC001_Gummidipoondi.csv,337.0,21.0,337.0,0.0,PASS,
AC002_Ponneri (SC).csv,320.0,19.0,320.0,0.0,PASS,
AC003_Tiruttani.csv,330.0,19.0,330.0,0.0,PASS,
AC004_Thiruvallur.csv,335.0,20.0,335.0,0.0,PASS,
AC005_Poonmallae (SC).csv,452.0,17.0,452.0,0.0,PASS,
AC006_Avadi.csv,499.0,26.0,499.0,0.0,PASS,
AC007_Maduravoyal.csv,482.0,27.0,482.0,0.0,PASS,
AC008_Ambattur.csv,364.0,29.0,364.0,0.0,PASS,
AC009_Madavaram.csv,511.0,21.0,511.0,0.0,PASS,
AC010_Thiruvottiyur.csv,336.0,21.0,336.0,0.0,PASS,
AC011_Dr.csv,244.0,44.0,244.0,0.0,PASS,
AC012_Perambur.csv,296.0,53.0,296.0,0.0,PASS,
AC013_Kolathur.csv,283.0,41.0,283.0,0.0,PASS,
AC014_Villivakkam.csv,252.0,34.0,252.0,0.0,PASS,
AC015_Thiru-Vi-Ka-Nagar (SC).csv,221.0,29.0,221.0,0.0,PASS,
AC016_Egmore (SC).csv,197.0,23.0,197.0,0.0,PASS,
AC017_Royapuram.csv,194.0,33.0,194.0,0.0,PASS,
AC018_Harbour.csv,189.0,29.0,189.0,0.0,PASS,
AC019_Chepauk-Thiruvallikeni.csv,232.0,31.0,232.0,0.0,PASS,
AC020_Thousand Lights.csv,244.0,24.0,244.0,0.0,PASS,
AC021_Anna Nagar.csv,273.0,30.0,273.0,0.0,PASS,
AC022_Virugampakkam.csv,311.0,30.0,311.0,0.0,PASS,
AC023_Saidapet.csv,276.0,21.0,276.0,0.0,PASS,
AC024_Thiyagarayanagar.csv,248.0,32.0,248.0,0.0,PASS,
AC025_Mylapore.csv,268.0,25.0,268.0,0.0,PASS,
AC026_Velachery.csv,314.0,33.0,314.0,0.0,PASS,
AC028_Alandur.csv,426.0,27.0,426.0,0.0,PASS,
AC029_Sriperumbudur (SC).csv,435.0,19.0,435.0,0.0,PASS,
